,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5070,2018,12891,Manual,23829,Petrol,145,58.9,1
914,2013,5200,Manual,50501,Petrol,0,65.7,1
11392,2018,15999,Semi-Auto,11893,Petrol,145,54.3,1
9395,2018,10995,Manual,13659,Petrol,150,65.7,1
11415,2016,8820,Manual,25590,Petrol,0,65.7,1
126,2019,19995,Manual,11312,Diesel,145,47.9,2
6257,2015,7990,Manual,39621,Diesel,0,74.3,1.5
6109,2016,19698,Manual,11960,Diesel,200,44.8,2
14792,2017,12999,Manual,12843,Diesel,30,64.2,1.5
9756,2017,12790,Manual,3184,Diesel,145,74.3,1.5
4606,2019,20395,Manual,5500,Petrol,145,35.3,1.5
15944,2016,11739,Manual,40230,Diesel,30,64.2,2
11572,2020,20490,Automatic,6041,Diesel,145,67.3,1.5
8653,2016,9790,Manual,16942,Petrol,125,52.3,1
15235,2017,12200,Manual,54000,Diesel,125,60.1,2
281,2019,16899,Manual,7000,Diesel,145,80.7,1.5
10516,2019,14410,Manual,7100,Petrol,145,60.1,1
12986,2017,17250,Manual,17449,Petrol,145,41.5,2
5270,2016,10295,Semi-Auto,16830,Petrol,0,57.7,1
3979,2017,9997,Manual,34606,Petrol,145,60.1,1
14672,2017,16999,Manual,16644,Diesel,145,60.1,2
11485,2019,16499,Manual,9751,Petrol,145,55.4,1
10363,2015,11999,Manual,52645,Diesel,145,54.3,2
2598,2016,7990,Manual,20362,Petrol,0,65.7,1
12848,2018,12400,Manual,5000,Petrol,145,55.4,1.1
9729,2017,9850,Manual,16730,Petrol,0,65.7,1
3816,2018,13997,Manual,22084,Petrol,145,54.3,1
3274,2019,14467,Manual,4126,Petrol,145,58.9,1
9628,2016,8500,Manual,25100,Petrol,0,65.7,1
11440,2018,13699,Manual,13000,Petrol,145,55.4,1
1128,2018,14300,Manual,9713,Petrol,145,58.9,1
16289,2015,9950,Manual,30268,Diesel,125,60.1,2
5607,2016,7230,Manual,52478,Diesel,0,88.3,1.5
14036,2016,7990,Manual,28000,Diesel,0,74.3,1.5
4338,2014,4801,Manual,90000,Petrol,30,54.3,1.2
578,2019,15998,Manual,10386,Petrol,145,49.6,1
2811,2017,8999,Manual,12850,Petrol,145,65.7,1
11990,2015,7441,Manual,33600,Petrol,160,44.8,1.5
5802,2017,18000,Manual,32493,Diesel,145,56.5,2
16704,2014,7500,Manual,38000,Diesel,30,61.4,1.6
6829,2014,5777,Manual,77000,Diesel,20,67.3,1.6
15441,2019,18000,Manual,10279,Diesel,145,38.2,2
15245,2017,12289,Manual,14112,Petrol,145,60.1,1
7913,2019,17410,Manual,9500,Petrol,145,60.1,1
17591,2017,9000,Manual,22903,Petrol,0,65.7,1
5896,2019,17520,Manual,4595,Petrol,145,60.1,1
4766,2018,11660,Manual,14453,Petrol,145,54.3,1
5404,2019,19795,Manual,10188,Diesel,145,47.9,2
17348,2008,2499,Automatic,83000,Petrol,265,38.2,1.6
13801,2019,15995,Manual,8333,Petrol,145,58.9,1
9673,2017,11400,Manual,15000,Petrol,20,61.4,1
10751,2017,9999,Manual,23819,Petrol,0,65.7,1
1283,2019,17050,Manual,3891,Diesel,145,74.3,1.5
13404,2018,12800,Manual,4023,Petrol,150,65.7,1
2744,2018,11699,Manual,36928,Petrol,150,62.8,1
3329,2019,26360,Manual,2725,Diesel,145,55.4,2
6959,2019,33995,Semi-Auto,100,Diesel,145,37.2,2
3777,2019,32500,Semi-Auto,1521,Diesel,145,37.2,2
9738,2018,11850,Manual,9948,Petrol,145,65.7,1
10707,2017,18999,Manual,37881,Diesel,125,56.5,2
1328,2019,19491,Manual,3114,Diesel,145,47.9,2
6797,2018,9998,Manual,17851,Petrol,145,64.2,1.1
16053,2018,18995,Manual,8587,Diesel,150,47.9,2
16994,2017,10283,Manual,4880,Petrol,145,55.4,1
13827,2016,24990,Automatic,18000,Petrol,325,28.8,2.3
14112,2016,10199,Manual,26297,Diesel,30,64.2,1.5
15950,2015,7099,Manual,74176,Diesel,0,74.3,1.5
1649,2018,12910,Manual,14163,Petrol,145,53.3,1
17371,2008,2750,Automatic,66000,Petrol,260,37.2,1.6
10000,2017,9495,Manual,33691,Diesel,145,88.3,1.5
11568,2019,14300,Manual,14711,Petrol,145,58.9,1
8031,2017,10000,Manual,31788,Petrol,145,65.7,1
17626,2017,8300,Manual,27363,Petrol,0,65.7,1
8044,2018,11200,Manual,12019,Petrol,145,65.7,1
11301,2019,16299,Semi-Auto,10233,Petrol,145,48.7,1
14603,2018,13999,Automatic,39993,Diesel,145,45.6,2
14616,2017,7763,Manual,29435,Petrol,145,54.3,1.2
14657,2019,17699,Automatic,3252,Diesel,145,64.2,2
