"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"5070",2018,12891,"Manual",23829,"Petrol",145,58.9,1,28.191534116778
"914",2013,5200,"Manual",50501,"Petrol",0,65.7,1,22.6802923742716
"11392",2018,15999,"Semi-Auto",11893,"Petrol",145,54.3,1,29.6568089313996
"9395",2018,10995,"Manual",13659,"Petrol",150,65.7,1,27.152078318669
"11415",2016,8820,"Manual",25590,"Petrol",0,65.7,1,25.7654818464898
"126",2019,19995,"Manual",11312,"Diesel",145,47.9,2,31.2371710535035
"6257",2015,7990,"Manual",39621,"Diesel",0,74.3,1.5,25.1633351881139
"6109",2016,19698,"Manual",11960,"Diesel",200,44.8,2,31.1288743736727
"14792",2017,12999,"Manual",12843,"Diesel",30,64.2,1.5,28.2469639951251
"9756",2017,12790,"Manual",3184,"Diesel",145,74.3,1.5,28.139359719853
"4606",2019,20395,"Manual",5500,"Petrol",145,35.3,1.5,31.3810095478916
"15944",2016,11739,"Manual",40230,"Diesel",30,64.2,2,27.5758851268591
"11572",2020,20490,"Automatic",6041,"Diesel",145,67.3,1.5,31.4148391556939
"8653",2016,9790,"Manual",16942,"Petrol",125,52.3,1,26.4142389395049
"15235",2017,12200,"Manual",54000,"Diesel",125,60.1,2,27.8278144832886
"281",2019,16899,"Manual",7000,"Diesel",145,80.7,1.5,30.0382337439389
"10516",2019,14410,"Manual",7100,"Petrol",145,60.1,1,28.939293730432
"12986",2017,17250,"Manual",17449,"Petrol",145,41.5,2,30.1825913703875
"5270",2016,10295,"Semi-Auto",16830,"Petrol",0,57.7,1,26.731841368534
"3979",2017,9997,"Manual",34606,"Petrol",145,60.1,1,26.5459741247907
"14672",2017,16999,"Manual",16644,"Diesel",145,60.1,2,30.0796037556023
"11485",2019,16499,"Manual",9751,"Petrol",145,55.4,1,29.8707693154766
"10363",2015,11999,"Manual",52645,"Diesel",145,54.3,2,27.7189241543919
"2598",2016,7990,"Manual",20362,"Petrol",0,65.7,1,25.1633351881139
"12848",2018,12400,"Manual",5000,"Petrol",145,55.4,1.1,27.9347477406055
